journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS1-02,1,1,1,1,1,1,1,1,3,2,3,4,5,5,4,3,3,2,3,2,2,2,2,2
ARTS-AS1-03,0,0,0,0,0,0,0,0,4,8,8,14,18,18,23,20,19,12,3,1,0,0,0,0
ARTS-AS1-04,0,0,0,0,0,0,0,1,4,9,14,16,15,17,21,21,20,16,11,7,4,3,2,1
ARTS-AS1-05,1,1,1,1,1,1,1,1,5,8,15,16,20,22,22,18,16,15,13,6,6,5,3,2
ARTS-AS2-02,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,2,3,1,1,2,1,1,2,2
ARTS-AS2-03,0,1,1,2,2,2,2,2,5,6,6,7,7,8,8,7,11,10,9,5,4,5,3,2
ARTS-AS2-04,0,0,1,1,1,1,1,1,2,5,11,15,13,16,15,18,17,19,10,6,3,4,4,2
ARTS-AS2-05,1,1,1,1,1,1,1,1,3,9,11,12,14,14,16,16,16,14,10,4,4,3,2,2
ARTS-AS2-06,1,1,1,1,1,1,1,2,8,11,11,11,11,12,14,12,11,11,5,3,2,1,1,1
ARTS-AS3-01,1,1,1,1,1,1,1,2,3,2,2,2,4,4,4,4,3,3,3,3,2,2,2,2
ARTS-AS3-02,0,0,0,0,0,0,0,0,1,5,6,6,6,5,4,6,4,4,4,2,2,3,2,2
ARTS-AS3-03,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,2,1,2,2,0,0,0,0,0
ARTS-AS3-04,0,0,0,0,0,0,0,2,9,10,15,12,14,17,13,14,13,12,9,0,0,0,0,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,3,5,9,7,8,9,12,14,11,7,5,2,1,1,1,1
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,2,3,4,5,5,6,7,5,5,4,0,0,0,1,1,1
ARTS-AS4-02,0,0,0,0,0,0,1,2,7,9,14,14,12,14,14,12,9,10,4,2,1,1,0,0
ARTS-AS4-03,1,2,2,2,2,2,2,2,6,11,14,11,9,10,11,10,9,12,9,5,2,2,3,2
ARTS-AS4-04,0,0,0,0,0,0,0,0,2,3,3,4,4,4,4,3,3,3,4,4,2,2,0,1
ARTS-AS4-05,0,0,0,0,0,0,0,0,3,2,2,2,4,5,3,2,2,5,3,3,0,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,4,3,2,1,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,1,1,1,1,2,1,4,5,3,2,2,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ARTS-AS5-03,1,1,1,1,1,2,2,2,2,3,7,9,7,6,7,6,4,5,2,2,2,2,2,2
ARTS-AS5-04,0,1,1,1,1,1,1,0,2,4,3,8,9,7,6,10,9,8,5,6,6,6,4,2
ARTS-AS5-05,1,1,1,1,1,1,1,1,2,3,3,3,5,7,6,4,4,3,4,3,1,1,2,2
ARTS-AS5-06,0,0,0,0,0,0,0,0,1,2,1,2,3,3,3,4,4,2,1,0,0,0,0,0
ARTS-AS6-01,0,0,0,0,0,0,0,0,3,4,3,6,8,11,9,6,5,7,3,0,0,0,0,0
ARTS-AS6-02,0,0,0,0,0,0,0,0,7,13,26,33,35,42,45,41,44,35,17,7,6,5,0,0
ARTS-AS6-03,0,0,0,1,1,1,1,3,5,11,13,12,16,20,14,13,13,9,10,8,5,4,3,3
ARTS-AS7-01,0,0,0,0,0,0,0,0,10,29,34,35,30,22,28,31,26,15,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,1,7,8,8,7,6,8,11,9,7,6,4,4,2,1,1,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,3,2,2,2,1,0,0,0
ARTS-AS7-05,0,0,0,1,1,1,1,7,23,31,34,35,36,27,32,33,32,30,20,3,2,2,3,3
ARTS-AS7-06,0,0,0,0,0,0,0,2,18,23,28,27,26,26,27,28,27,22,10,4,2,1,1,1
ARTS-CTN-02,0,0,0,0,0,0,1,1,1,1,3,22,106,96,23,6,7,9,6,1,1,0,0,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,0,0,0,0,0,3,5,5,7,8,7,5,3,2,0,0,0,0,0
ARTS-LT15,0,0,0,0,0,0,0,0,0,2,2,4,6,7,3,2,1,2,2,0,0,1,1,1
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ARTS-Ventus-01,0,0,0,0,0,1,1,4,27,29,24,25,24,24,33,33,32,35,20,9,6,6,2,0
ARTS-Ventus-02,0,0,0,0,0,0,1,6,29,38,38,43,45,51,53,43,39,41,32,5,1,1,0,0
ARTS-Ventus-03,1,1,1,1,1,1,1,1,32,39,42,44,42,45,52,53,45,42,26,10,4,2,1,1
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
