journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,2,3,3,2,1,1,1,1,1
ARTS-AS1-02,0,0,0,0,0,0,0,0,2,10,21,31,40,42,40,39,44,34,27,15,14,11,5,4
ARTS-AS1-03,0,0,0,0,0,0,0,0,2,2,2,1,7,10,10,9,10,3,3,3,3,2,3,2
ARTS-AS1-04,0,0,0,0,0,0,0,0,1,1,9,20,14,5,10,14,15,15,80,87,89,93,89,4
ARTS-AS1-05,0,0,0,0,0,0,0,0,0,1,3,3,4,7,6,3,2,3,3,2,1,0,0,0
ARTS-AS2-02,0,0,0,0,0,0,0,0,0,1,5,6,7,11,14,12,13,10,3,2,2,2,1,1
ARTS-AS2-03,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,2,3,2,1,1,0,0,0
ARTS-AS2-04,0,0,0,0,0,0,0,0,6,17,24,21,7,9,12,15,15,8,3,2,2,2,1,0
ARTS-AS2-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,1,0,0,0,0,0,0
ARTS-AS2-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
ARTS-AS3-01,0,0,0,0,0,0,0,0,1,2,3,5,7,9,8,9,8,11,8,7,4,5,1,0
ARTS-AS3-02,0,0,0,0,0,0,0,0,0,1,1,2,5,4,6,6,3,4,3,2,0,0,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,0,1,2,2,6,8,11,11,13,6,7,6,6,5,5,3
ARTS-AS3-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,3,1,0,0,0,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,0,0,0,0,0,0,0,1
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,1,1,6,8,13,15,9,12,12,8,8,7,5,5,1,0
ARTS-AS4-02,0,0,0,0,0,0,0,0,0,0,2,2,2,3,11,9,4,0,0,0,0,0,0,0
ARTS-AS4-03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0
ARTS-AS4-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1
ARTS-AS4-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
ARTS-AS5-03,0,0,0,0,0,0,0,0,2,4,4,5,4,2,2,2,3,5,5,4,3,3,3,1
ARTS-AS5-04,0,0,0,0,0,0,0,0,1,2,3,4,4,5,6,7,4,4,2,4,2,2,3,3
ARTS-AS5-05,0,0,0,0,0,0,0,0,1,1,2,3,3,2,2,2,1,1,2,0,0,0,0,0
