journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS1-02,0,1,1,1,1,1,1,1,2,4,5,7,7,8,9,7,7,6,6,5,4,2,1,1
ARTS-AS1-03,0,0,0,0,0,0,0,0,4,4,7,5,3,2,2,5,5,6,1,0,0,0,0,0
ARTS-AS1-04,0,0,0,0,0,1,1,2,3,6,7,11,14,11,14,12,10,14,11,4,3,3,2,2
ARTS-AS1-05,0,0,1,1,1,2,2,4,6,8,11,17,17,18,18,18,18,8,7,5,3,3,3,2
ARTS-AS2-02,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,1,2,3,7,7,9,7,6,6,4,6,5,3,1,1,1,1
ARTS-AS2-04,1,1,1,1,1,1,1,1,4,6,10,15,18,18,17,17,14,13,8,5,2,2,2,2
ARTS-AS2-05,0,0,1,1,1,1,1,1,2,4,6,8,9,9,11,11,12,9,4,2,2,2,1,1
ARTS-AS2-06,0,0,0,0,0,0,0,0,3,6,6,4,6,10,9,10,9,8,5,3,1,1,1,1
ARTS-AS3-01,0,0,0,0,0,0,0,1,2,1,3,3,2,2,3,4,4,4,2,1,1,1,1,0
ARTS-AS3-02,0,0,0,0,0,0,0,0,2,3,2,3,3,5,4,4,4,4,2,1,1,1,1,0
ARTS-AS3-03,0,0,0,0,0,0,0,0,1,2,4,4,3,1,2,3,3,0,0,0,0,0,0,0
ARTS-AS3-04,0,0,0,0,0,0,0,1,7,9,13,13,15,15,13,16,18,10,2,2,2,1,1,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,1,1,4,6,8,5,5,6,7,6,6,3,2,1,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,1,2,5,9,9,6,3,5,5,6,9,6,3,2,2,2,0,0
ARTS-AS4-02,0,0,0,0,0,0,0,1,10,11,13,12,13,15,12,17,16,13,2,2,1,1,1,1
ARTS-AS4-03,1,1,1,1,1,1,1,1,6,12,17,16,13,12,17,17,13,12,8,3,3,2,1,1
ARTS-AS4-04,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0
ARTS-AS4-05,0,1,1,1,1,1,1,1,2,4,6,6,6,6,7,7,4,4,1,1,1,1,1,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,3,4,3,4,3,1,1,1,2,1,0,0,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ARTS-AS5-03,0,0,0,0,1,1,1,2,3,3,3,2,2,3,2,2,4,4,2,1,1,1,1,1
ARTS-AS5-04,0,0,0,0,0,0,0,0,0,2,5,6,4,6,4,4,7,5,3,3,2,2,2,1
ARTS-AS5-05,1,1,1,1,1,1,1,1,1,2,4,4,8,11,13,8,9,7,1,1,1,1,1,1
ARTS-AS5-06,0,0,0,0,0,0,0,0,2,5,4,6,6,5,4,5,5,5,2,0,0,0,0,0
ARTS-AS6-01,0,0,0,0,0,0,0,0,9,12,13,14,15,17,12,11,12,10,5,1,0,0,0,0
ARTS-AS6-02,0,0,0,0,0,0,1,2,18,26,35,40,40,39,30,31,30,24,18,11,6,5,1,1
ARTS-AS6-03,0,0,0,0,0,0,0,0,4,9,14,15,13,14,13,15,13,11,9,2,0,0,0,0
ARTS-AS7-01,0,0,0,0,0,0,0,0,1,5,8,6,2,4,5,6,3,1,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,1,5,5,2,4,6,7,5,7,6,7,6,1,1,1,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
