journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS6-01,0,0,0,0,0,0,0,0,0,2,2,2,5,3,2,2,2,0,1,1,0,0,0,0
ARTS-AS6-02,0,0,0,0,0,0,0,0,2,3,4,4,3,3,4,4,4,4,5,5,3,3,1,1
ARTS-AS6-03,0,0,0,0,0,0,0,1,1,6,10,11,13,10,11,12,9,8,7,3,2,1,1,1
ARTS-AS7-01,0,0,0,0,0,0,0,0,0,1,2,7,10,10,2,5,5,3,0,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,1,6,8,8,8,8,8,10,9,7,9,6,2,1,1,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-04,0,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1
ARTS-AS7-05,0,1,1,1,1,1,1,7,32,52,53,50,45,39,47,45,43,39,22,11,5,5,3,3
ARTS-AS7-06,0,0,0,0,0,0,0,2,11,30,32,35,25,27,28,23,19,18,3,0,0,0,0,0
ARTS-CTN-02,0,0,0,0,0,0,0,0,0,1,3,15,44,28,6,7,8,6,6,2,1,0,0,0
ARTS-LT10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,2,2,1,1,4,4,4,2,2,2,2,1,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,0,0,3,2,2,1,2,2,3,1,1,2,1,0,0,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
ARTS-LT14,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
ARTS-LT15,0,0,0,0,0,0,0,0,1,2,1,1,3,4,4,3,4,3,6,7,4,0,1,1
ARTS-LT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,0,0
ARTS-LT9,0,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0
ARTS-Ventus-01,0,0,0,0,0,0,1,3,27,40,43,45,38,28,41,44,46,37,18,4,3,0,0,0
ARTS-Ventus-02,0,0,0,0,0,0,0,5,35,51,53,63,63,70,75,66,63,61,40,13,5,3,2,0
ARTS-Ventus-03,0,0,0,0,0,0,0,5,38,61,66,66,59,60,60,68,62,58,29,11,6,5,3,3
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
CCELIB-CL-03,0,0,0,0,0,0,0,1,2,3,5,5,6,6,5,4,2,1,2,1,0,0,0,0
CCELIB-CL-04,0,0,0,0,0,0,0,1,11,14,12,10,13,21,24,29,21,17,5,5,4,3,0,0
CCELIB-CL-05,0,0,0,0,0,0,0,0,5,8,10,14,18,21,16,16,12,9,6,2,1,0,0,0
CCELIB-CL-06,0,0,0,0,0,0,0,2,13,19,19,22,21,24,24,24,20,17,8,3,3,2,0,0
