journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,2,0,0,1,1,1,0,0,0
ARTS-AS1-02,0,0,0,0,0,1,1,1,4,9,15,22,45,52,53,52,35,35,27,19,9,5,5,1
ARTS-AS1-03,0,0,0,0,0,0,0,0,1,2,1,8,27,32,33,27,10,9,7,4,3,0,0,0
ARTS-AS1-04,0,0,0,0,0,0,0,6,194,286,277,228,221,253,236,175,207,266,240,179,3,1,1,0
ARTS-AS1-05,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,0,2,2,0,0,0,0,0,0
ARTS-AS2-02,0,0,0,0,0,0,0,0,0,1,1,3,5,3,4,5,2,2,2,2,2,1,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,0,0,4,3,1,1,2,2,2,4,4,3,1,1,1,1,0
ARTS-AS2-04,0,0,0,0,0,0,0,0,1,3,7,12,12,13,15,16,12,16,12,8,9,9,10,4
ARTS-AS2-05,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,2,2,0,0,0,0,0,0
ARTS-AS2-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
ARTS-AS3-01,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,4,3,3,3,4,4,1,1,1
ARTS-AS3-02,0,0,0,0,0,0,0,0,0,0,0,1,10,11,11,9,1,0,0,0,0,0,0,0
ARTS-AS3-03,2,3,3,5,5,5,2,0,3,8,13,16,20,10,5,8,6,7,5,3,4,4,4,4
ARTS-AS3-04,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,1,2,1,1,0,0,0,0
ARTS-AS3-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,0,3,4,7,8,11,9,8,8,5,5,2,1,2,2,0,0
ARTS-AS4-02,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0
ARTS-AS4-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ARTS-AS4-04,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,1,2,1,0,0,0,0,0
ARTS-AS4-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,0,0,0,0,0,0
ARTS-AS5-03,0,0,0,0,0,0,0,0,2,2,2,3,5,6,5,5,7,4,4,3,3,6,4,3
ARTS-AS5-04,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,1,1,1,2,2
ARTS-AS5-05,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,4,2,2,0,0,0,0,0,0
ARTS-AS5-06,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,4,3,1,1,1
ARTS-AS6-01,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,2,2,2,3,2,2,0,0
