journey,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
ARTS-AS1-01,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,3,2,2,2,1,0,0
ARTS-AS1-02,0,0,0,0,0,0,0,4,26,88,124,164,113,150,177,200,168,170,96,85,29,14,0,0
ARTS-AS1-03,0,0,0,0,0,0,0,5,32,66,75,65,63,90,88,102,85,63,36,44,37,34,0,0
ARTS-AS1-04,0,0,0,0,0,0,0,1,3,6,17,19,17,22,26,27,36,38,74,85,77,64,40,1
ARTS-AS1-05,0,0,0,0,0,0,0,1,1,1,4,4,1,3,7,5,4,3,0,0,0,0,0,0
ARTS-AS2-02,0,0,0,0,0,0,0,0,0,10,20,43,43,53,19,28,17,17,12,3,1,1,0,0
ARTS-AS2-03,0,0,0,0,0,0,0,8,17,28,29,26,15,20,28,35,39,30,3,4,2,1,0,0
ARTS-AS2-04,0,0,0,0,0,0,0,1,4,19,42,55,70,93,101,88,58,48,59,70,57,36,5,1
ARTS-AS2-05,0,0,0,0,0,0,0,0,2,3,5,5,4,5,7,10,13,8,5,4,1,0,0,0
ARTS-AS2-06,0,0,0,0,0,0,0,0,0,1,4,4,1,0,2,2,3,2,1,0,0,0,0,0
ARTS-AS3-01,0,0,0,0,0,0,0,1,1,7,8,5,6,5,4,7,9,5,0,0,0,1,1,0
ARTS-AS3-02,0,0,0,0,0,0,0,0,12,48,73,111,75,103,95,123,75,60,31,32,12,9,0,0
ARTS-AS3-03,0,0,0,0,0,0,0,7,49,84,114,133,97,116,87,124,96,101,54,51,24,3,0,0
ARTS-AS3-04,0,0,0,0,0,0,0,2,5,6,15,10,2,5,4,8,8,6,6,4,1,0,0,0
ARTS-AS3-05,0,1,1,1,1,1,1,1,1,1,2,3,6,9,8,7,3,3,3,1,0,0,0,0
ARTS-AS3-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ARTS-AS4-01,0,0,0,0,0,0,0,3,15,38,64,84,87,110,96,96,69,68,65,69,37,0,0,0
ARTS-AS4-02,0,0,0,0,0,0,0,0,1,13,27,29,20,17,22,17,12,10,3,2,0,0,0,0
ARTS-AS4-03,0,0,0,0,0,0,0,4,23,29,16,12,5,8,9,3,6,6,4,4,2,0,0,0
ARTS-AS4-04,0,1,1,1,1,1,1,1,1,4,11,9,15,10,6,12,13,12,6,4,2,2,1,2
ARTS-AS4-05,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ARTS-AS4-06,0,0,0,0,0,0,0,3,20,45,42,50,40,48,32,43,48,52,47,44,5,0,0,0
ARTS-AS4-B1,0,0,0,0,0,0,0,0,4,16,26,25,6,40,59,47,0,0,0,0,0,0,0,0
ARTS-AS5-02,0,0,0,0,0,0,0,0,0,2,19,19,29,28,22,17,7,7,1,1,0,0,0,0
ARTS-AS5-03,0,0,0,0,0,0,0,0,0,4,19,21,23,28,31,20,20,13,11,12,0,0,0,0
ARTS-AS5-04,0,0,0,0,0,0,0,0,2,3,8,11,14,21,11,8,17,12,10,6,1,1,1,0
ARTS-AS5-05,0,0,0,0,0,0,1,1,1,1,4,6,10,14,11,4,3,3,5,8,9,7,6,1
ARTS-AS5-06,0,0,0,0,0,0,0,0,3,4,2,2,6,7,7,8,5,6,15,15,14,16,10,7
ARTS-AS6-01,0,0,0,0,0,0,0,0,1,1,2,5,11,14,14,10,9,9,5,2,1,0,0,0
ARTS-AS6-02,0,0,0,0,0,0,0,0,7,14,24,25,12,14,13,11,14,14,15,20,23,18,3,0
ARTS-AS6-03,0,0,0,0,0,0,0,0,6,7,4,7,13,13,7,10,16,22,11,9,9,1,1,1
ARTS-AS7-01,0,0,0,0,0,0,0,0,2,20,46,93,118,134,50,63,65,62,1,0,0,0,0,0
ARTS-AS7-02,0,0,0,0,0,0,0,0,2,10,22,26,29,43,39,58,37,13,2,1,0,0,0,0
ARTS-AS7-03,0,0,0,0,0,0,0,0,1,3,2,1,2,2,2,3,3,5,6,5,2,1,1,1
ARTS-AS7-04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-AS7-05,0,0,0,1,1,1,1,1,1,1,1,0,2,2,3,4,3,3,3,3,4,3,3,2
ARTS-AS7-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ARTS-CTN-02,0,0,0,0,0,0,0,1,5,31,69,169,197,180,157,103,59,69,36,13,6,6,3,1
ARTS-LT10,0,0,0,0,0,0,0,5,29,39,30,57,52,65,31,38,14,12,1,1,0,0,0,0
ARTS-LT11,0,0,0,0,0,0,0,0,0,35,66,60,7,49,102,169,149,132,8,5,1,0,0,0
ARTS-LT12,0,0,0,0,0,0,0,19,82,140,122,149,64,163,142,163,69,84,40,37,5,4,0,0
ARTS-LT13,0,0,0,0,0,0,0,0,0,1,2,3,8,10,15,18,15,15,3,5,2,1,0,0
ARTS-LT14,0,0,0,0,0,0,0,0,0,0,1,9,13,17,9,16,13,12,16,14,1,1,1,1
ARTS-LT15,0,0,0,0,0,0,0,0,0,0,1,58,129,126,4,7,5,4,60,65,46,1,0,0
ARTS-LT8,0,0,0,0,0,0,0,0,0,72,117,251,239,281,90,252,282,298,84,82,0,0,0,0
ARTS-LT9,0,0,0,0,0,0,0,14,43,47,1,68,153,305,202,199,0,0,0,0,0,0,0,0
ARTS-Ventus-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTS-Ventus-02,0,0,0,0,0,0,0,0,0,3,5,8,11,13,11,11,6,4,2,1,1,1,1,1
ARTS-Ventus-03,0,0,0,0,0,0,0,0,3,4,3,4,5,3,2,2,2,1,1,1,0,0,0,0
ARTS-Ventus-B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCELIB-CL-01,0,0,0,0,0,0,0,0,0,3,4,4,5,5,8,12,14,13,9,6,5,4,2,0
CCELIB-CL-03,0,0,0,0,0,0,0,0,7,25,54,78,106,131,126,144,122,98,57,33,24,8,0,0
CCELIB-CL-04,0,0,0,0,0,0,0,0,8,18,26,29,24,36,46,49,38,35,16,17,12,3,0,0
CCELIB-CL-05,0,0,0,0,0,0,0,0,20,76,148,198,259,320,331,365,287,235,131,104,64,46,0,0
CCELIB-CL-06,0,0,0,0,0,0,0,1,11,62,130,195,271,373,410,443,388,312,157,114,74,35,0,0
